"","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$"
"Burkina Faso","19.73","18.77","14.25","13.98","13.64","12.44","11.69","13.08","14.22","10.94","11.12","9.92","9.65","8.95","7.41","6.37","5.38","5.20","3.82","3.26","3.21","3.11"
"Burundi","6.16","5.54","5.10","5.23","5.73","5.44","5.68","5.76","4.35","4.61","6.07","7.08","6.67","6.47","6.45","5.76","4.48","3.52","3.03","3.31","3.50","3.56"
"Cote d'Ivoire","26.48","27.25","27.44","27.88","26.91","26.57","26.63","40.56","40.17","39.33","42.90","42.12","43.42","45.05","40.97","40.81","43.83","47.37","46.47","41.82","40.22","39.57"
"Cabo Verde","45.90","40.90","46.55","46.68","44.99","41.42","38.68","46.63","43.96","41.15","39.43","40.12","30.97","30.70","28.78","26.48","23.26","21.94","20.18","16.05","14.65","14.88"
"Cambodia","67.25","69.63","73.72","56.71","46.10","45.89","41.58","43.14","44.15","41.73","39.46","28.08","28.14","25.03","15.07","17.29","19.80","16.32","15.58","14.94","14.10","13.58"
"Cameroon","42.68","39.68","40.56","41.70","38.00","35.85","35.19","39.87","39.47","37.67","40.20","37.63","38.85","40.09","36.46","32.73","31.67","30.85","27.25","22.05","20.13","22.32"
"Canada","907.33","780.87","790.73","792.26","780.07","729.97","689.22","771.36","800.17","832.61","824.16","795.49","665.15","695.43","658.39","601.32","505.80","445.83","389.26","341.93","327.40","332.38"
"Central African Republic","21.02","19.92","20.56","20.49","15.60","11.18","8.64","8.38","7.60","11.97","11.09","9.76","10.76","10.94","9.59","8.43","7.81","7.53","6.69","5.26","4.96","4.64"
"Chad","20.95","21.63","19.93","20.80","18.60","18.26","19.87","24.34","23.44","22.28","23.51","24.67","23.42","26.26","22.84","22.27","18.15","14.61","8.82","12.03","6.99","5.84"
"Chile","459.45","375.49","449.19","484.50","455.52","409.97","391.09","394.11","398.15","361.29","343.15","300.11","255.36","272.02","254.69","233.05","212.73","178.86","149.58","137.17","139.34","152.74"
