"","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$","Out-of-pocket expenditure (OOP) per capita in US$"
"Monaco","593.72","468.15","514.25","503.66","450.91","455.54","442.74","510.85","486.28","435.71","473.86","430.43","448.33","532.66","480.10","373.56","342.22","326.67","284.45","229.31","211.42","208.08"
"Mongolia","105.83","81.92","85.29","83.10","61.32","58.95","60.33","61.49","67.09","53.52","43.54","27.91","17.45","20.84","15.42","12.67","12.00","8.33","6.52","6.45","5.80","5.22"
"Montenegro","375.17","316.58","282.37","288.07","257.86","227.98","217.62","226.37","250.98","192.35","222.13","","","","","","","","","","",""
"Morocco","98.96","84.37","81.73","82.35","79.85","79.05","79.56","92.61","92.86","90.75","97.12","93.64","90.16","86.37","75.29","64.63","57.84","52.17","43.57","34.11","30.00","29.30"
"Mozambique","3.95","3.47","3.85","3.88","3.51","3.31","4.49","4.49","3.30","1.95","2.03","1.86","2.28","2.55","2.32","2.31","2.28","2.22","2.37","2.65","2.16","2.59"
"Myanmar","45.83","57.04","48.96","46.16","44.71","45.41","44.48","35.57","27.01","28.36","21.02","16.22","15.28","12.04","8.09","6.32","6.28","5.50","5.44","5.79","3.95","3.81"
"Namibia","35.22","27.88","34.18","38.17","37.07","33.18","36.33","42.13","48.96","60.82","58.64","48.44","32.79","28.52","26.98","24.57","23.25","22.52","18.43","11.92","13.45","14.21"
"Nauru","10.39","9.35","9.31","8.77","9.67","10.82","10.26","9.80","8.56","6.72","12.65","14.85","17.49","17.34","13.18","14.01","14.19","15.18","12.98","11.07","10.33","11.60"
"Nepal","33.47","31.59","30.60","29.09","28.30","26.21","27.85","25.40","22.50","19.01","20.08","16.76","12.09","11.67","10.48","5.82","6.97","6.67","5.96","5.44","5.26","4.65"
"Netherlands (Kingdom of the)","613.18","544.34","556.69","575.25","545.21","536.01","527.82","649.12","638.19","533.26","527.42","472.22","479.12","534.14","370.48","339.76","377.98","367.48","311.63","249.70","227.73","223.74"
"New Zealand","572.37","481.97","495.29","511.09","530.01","507.65","481.26","538.79","496.70","472.97","442.42","386.70","335.33","377.35","310.03","319.00","323.14","279.76","247.88","200.86","179.09","162.05"
"Nicaragua","61.04","52.02","53.81","55.86","59.95","58.61","57.08","53.93","50.58","49.22","46.36","43.23","42.35","43.80","38.63","32.65","28.26","27.07","23.53","25.79","22.83","22.93"
"Niger","14.60","15.18","14.39","14.73","13.86","13.12","13.30","13.61","13.82","13.72","14.25","12.96","13.10","13.00","11.18","9.87","9.52","8.35","7.60","6.39","5.78","5.40"
"Nigeria","63.92","52.10","49.82","49.90","56.32","58.82","69.22","76.25","71.51","66.33","62.10","58.11","50.65","58.28","49.05","46.31","35.58","28.51","28.45","11.75","11.23","10.62"
"Niue","11.31","11.96","11.42","11.35","9.93","9.38","9.34","16.77","16.67","16.89","16.40","14.41","11.73","11.76","11.21","9.71","9.03","7.95","7.05","5.95","4.80","4.50"
"North Macedonia","233.87","176.08","164.71","159.76","141.56","114.06","103.73","118.71","116.58","108.21","116.73","114.07","102.19","99.71","98.08","90.11","95.28","98.62","94.31","73.94","64.16","69.12"
"Norway","1267.82","1070.80","1114.51","1155.47","1134.22","1069.86","1069.98","1311.08","1348.69","1327.58","1353.73","1182.58","1113.88","1216.24","1108.27","969.55","933.43","854.42","768.95","654.50","525.49","529.08"
"Oman","52.29","44.54","43.41","41.54","41.79","39.66","40.60","41.23","41.15","57.67","58.57","58.11","58.37","57.55","44.15","38.55","33.72","33.28","29.86","27.05","28.45","29.95"
"Pakistan","24.78","21.17","20.95","23.37","25.19","23.43","22.61","21.68","18.23","16.11","16.81","16.43","16.08","17.38","19.03","17.99","12.98","9.47","8.69","7.63","7.49","8.84"
"Palau","306.40","308.79","284.18","298.55","300.60","292.05","267.89","231.40","221.93","203.99","196.73","192.02","184.39","170.08","161.44","149.98","134.03","118.68","113.68","110.88","105.63","106.18"
"Panama","528.33","537.79","504.15","438.48","359.91","345.75","324.68","292.58","260.34","252.49","227.48","191.23","163.94","148.29","141.68","123.81","115.91","111.70","100.59","100.88","94.91","92.61"
"Papua New Guinea","6.36","5.87","5.75","5.71","5.01","5.52","5.63","5.34","5.08","6.52","6.47","4.87","3.82","3.04","2.60","2.45","2.27","2.19","1.94","1.81","1.62","1.79"
"Paraguay","172.04","155.63","174.54","184.76","177.52","165.01","171.82","195.01","185.40","170.10","168.08","138.63","120.09","132.83","92.94","69.09","54.84","49.92","38.51","36.31","47.90","51.07"
"Peru","112.18","88.45","103.12","106.88","95.41","91.36","92.87","104.71","112.40","119.44","106.07","94.93","83.93","82.73","67.29","54.80","41.86","38.53","36.44","38.94","36.26","33.62"
"Philippines","90.64","74.18","69.39","63.71","61.12","60.67","59.34","56.94","70.07","65.08","57.63","49.89","43.82","44.17","36.58","29.64","24.28","16.35","15.40","13.07","12.59","13.51"
"Poland","235.41","205.55","207.32","203.52","209.72","187.75","187.43","209.70","209.00","197.87","207.55","193.12","186.25","218.09","176.27","143.16","130.63","116.80","95.19","84.21","82.56","74.56"
"Portugal","796.22","657.41","680.01","663.06","593.19","551.91","528.83","604.27","584.70","585.75","601.31","558.24","589.06","631.33","547.28","474.16","429.64","405.17","341.95","264.11","254.99","255.95"
"Qatar","126.83","117.84","133.21","132.24","131.32","130.33","129.47","127.86","140.06","186.55","251.25","244.66","253.01","239.85","239.09","246.71","250.88","232.72","205.64","183.51","163.93","165.87"
"Republic of Korea","948.75","767.65","823.79","826.74","742.56","683.85","652.93","653.62","587.37","548.80","526.62","474.64","381.63","421.91","430.41","388.18","344.46","271.88","245.70","205.67","198.00","205.80"
"Republic of Moldova","120.64","94.84","101.48","110.85","106.44","79.24","86.11","88.50","98.63","94.41","96.30","80.17","95.05","89.85","61.08","46.50","33.93","24.66","18.57","15.78","13.19","10.09"
"Romania","201.68","154.03","139.42","133.70","113.73","98.84","94.12","102.25","99.92","90.09","103.56","92.70","93.40","94.79","73.04","58.17","47.09","46.41","21.71","17.22","14.93","13.57"
"Russian Federation","254.67","203.85","239.19","233.45","234.85","188.43","192.90","264.96","281.84","253.48","233.98","200.31","178.60","192.40","145.29","109.79","86.74","70.59","54.67","43.82","36.27","28.74"
"Rwanda","6.10","5.95","6.20","6.12","5.71","5.76","5.94","6.11","5.87","5.82","5.57","5.32","5.02","4.72","4.20","3.89","5.97","4.31","2.96","2.09","2.19","2.42"
"Saint Kitts and Nevis","432.91","443.40","558.43","544.76","623.40","628.31","586.03","509.24","522.25","480.59","503.73","473.01","473.47","497.60","359.32","342.81","265.60","225.49","243.21","237.54","223.72","234.02"
"Saint Lucia","217.62","204.82","210.57","223.25","231.79","217.03","226.57","240.46","248.46","232.23","253.81","239.95","248.38","256.73","281.45","229.06","186.66","177.75","189.14","170.44","161.77","167.33"
"Saint Vincent and the Grenadines","117.43","108.15","103.76","109.38","107.72","103.75","101.98","102.40","96.99","95.76","90.72","91.42","88.84","88.78","88.07","73.72","66.55","61.84","54.23","49.89","46.56","40.80"
"Samoa","29.53","27.39","26.83","25.75","26.25","26.65","24.40","27.15","27.18","27.20","25.85","23.23","21.48","22.20","19.19","16.97","15.70","13.44","11.68","9.52","7.78","7.14"
"San Marino","489.87","394.10","432.46","445.90","459.16","452.12","484.90","498.41","454.61","493.50","506.56","507.47","786.97","834.43","735.42","660.79","647.05","659.02","579.87","557.96","533.50","556.73"
"Sao Tome and Principe","21.69","18.83","18.06","17.13","17.19","15.20","13.62","17.79","17.69","15.32","16.49","15.63","17.76","19.50","21.08","22.81","26.75","25.07","22.74","21.22","20.58","21.81"
"Saudi Arabia","146.45","136.68","145.94","205.27","180.64","179.77","172.36","161.68","152.08","145.47","129.08","124.11","118.61","109.02","93.89","82.62","75.84","71.14","66.58","65.71","67.08","68.39"
"Senegal","33.70","31.92","32.05","31.79","28.20","28.09","27.56","31.34","33.71","30.06","29.62","25.22","23.20","20.72","18.30","14.63","14.57","23.71","19.84","15.05","12.72","12.25"
"Serbia","328.70","241.56","237.59","236.41","209.64","196.78","199.39","243.21","237.63","198.38","225.31","198.52","202.29","236.15","189.96","122.00","91.71","74.91","57.47","41.29","31.96","16.73"
"Seychelles","157.90","158.17","189.99","193.21","181.21","186.15","171.11","194.56","117.57","122.74","120.98","112.84","105.11","129.20","92.12","107.85","108.80","95.74","75.32","57.61","95.43","63.34"
"Sierra Leone","22.19","24.09","24.46","26.27","24.82","35.39","40.64","48.45","51.40","33.96","28.88","20.57","24.84","25.80","22.30","19.25","17.74","16.24","16.60","15.74","14.52","14.62"
"Singapore","893.22","822.53","803.64","767.90","834.59","800.52","754.02","728.67","748.41","687.18","659.97","616.65","570.03","593.96","533.63","474.77","446.17","432.84","403.83","395.01","383.10","381.78"
"Slovakia","326.87","261.33","257.13","245.78","222.51","210.29","204.52","232.18","319.62","306.55","318.79","295.62","295.94","263.10","281.72","193.83","141.97","108.62","42.07","28.00","23.14","22.06"
"Slovenia","357.90","301.53","258.78","259.95","237.32","220.29","221.96","267.77","255.99","246.07","261.96","254.97","271.58","275.48","244.81","189.29","188.68","166.55","150.22","118.63","106.61","105.74"
"Solomon Islands","3.87","3.73","3.82","3.42","2.99","2.97","2.94","3.17","3.21","3.08","3.08","2.99","2.51","2.76","2.58","2.32","1.94","1.73","1.58","2.01","2.85","2.54"
"South Africa","32.14","26.52","31.59","33.27","31.32","26.81","28.65","31.03","45.86","50.52","53.80","50.22","39.98","39.52","44.64","44.68","45.75","43.30","35.55","24.52","28.85","34.39"
"South Sudan","8.96","18.91","14.81","7.79","5.18","","","","","","","","","","","","","","","","",""
"Spain","679.10","571.93","593.13","609.80","561.63","521.90","523.78","619.89","598.85","564.86","593.19","566.03","558.66","618.23","540.36","471.41","448.42","426.39","368.50","288.94","259.72","244.53"
"Sri Lanka","72.52","69.10","72.95","74.66","71.99","74.49","71.91","65.60","65.86","57.56","59.59","56.57","52.52","46.35","32.68","26.54","23.06","20.78","15.87","17.29","16.97","17.51"
"Sudan","12.27","12.36","23.93","23.79","51.61","66.68","78.01","62.44","76.60","51.83","55.09","46.90","43.61","53.66","49.29","32.16","21.15","17.52","14.78","10.73","9.88","9.03"
"Suriname","74.23","97.98","106.19","82.95","85.83","74.66","113.82","129.08","122.20","115.74","102.86","94.89","84.04","81.67","60.64","57.05","50.73","44.27","39.51","36.47","25.03","25.57"
"Sweden","902.94","770.29","775.21","838.24","822.34","823.24","834.36","985.53","999.92","926.28","924.40","723.30","678.47","755.48","704.17","622.86","590.17","567.94","493.96","405.99","363.91","314.30"
"Switzerland","2474.43","2309.21","2220.56","2187.74","2134.69","2114.99","2174.46","2265.52","2259.28","2189.55","2296.75","1954.73","1912.01","1886.82","1682.29","1551.26","1540.14","1612.91","1436.43","1223.49","1133.52","1104.99"
"Syrian Arab Republic","","","","","","","","","","33.90","39.95","47.89","47.48","44.08","37.59","33.12","31.08","31.63","31.36","34.48","34.22","35.10"
"Turkiye","71.77","64.94","67.75","67.81","76.03","75.73","75.72","92.15","92.54","82.83","83.64","89.92","71.66","108.12","120.95","97.40","87.19","59.76","44.66","37.45","35.51","56.28"
"Tajikistan","46.66","45.42","43.99","40.82","36.55","36.83","39.83","45.98","42.28","36.69","30.71","29.90","27.18","28.41","20.21","13.79","11.48","10.49","8.03","6.42","5.79","4.68"
"Thailand","32.96","32.16","25.07","27.87","29.36","24.94","26.19","27.58","26.16","27.18","25.05","24.56","23.91","22.01","18.61","18.30","25.07","21.94","20.71","19.45","19.44","21.25"
"Timor-Leste","7.95","8.08","8.31","8.02","7.24","7.35","7.46","7.34","7.15","6.77","6.38","6.06","4.41","4.99","5.49","6.03","8.36","6.87","6.15","","",""
"Togo","37.36","34.85","33.21","34.80","32.51","32.84","21.52","24.65","23.47","21.50","21.92","19.49","18.95","18.26","15.32","12.38","12.24","11.91","11.29","9.45","8.47","8.62"
"Tonga","11.84","11.46","12.41","12.38","11.31","10.33","11.30","12.84","13.84","14.36","14.89","14.16","13.54","14.27","13.24","11.82","11.53","10.25","8.70","7.76","6.67","7.74"
"Trinidad and Tobago","517.32","492.37","502.86","473.99","432.11","448.85","429.19","424.14","411.00","392.54","384.33","377.82","363.15","345.90","324.27","276.81","242.23","225.73","172.31","167.84","138.59","151.21"
"Tunisia","89.57","82.45","74.54","89.03","89.47","94.29","97.64","107.83","109.63","109.13","111.06","100.17","97.16","97.37","85.59","75.32","70.62","68.60","60.18","49.50","44.41","42.33"
"Turkmenistan","444.06","372.35","376.25","351.21","339.88","310.87","277.89","288.20","242.73","210.09","184.16","152.07","132.81","194.04","188.54","277.65","247.97","224.91","130.16","79.48","74.68","37.88"
"Tuvalu","3.80","3.43","3.34","2.94","3.36","3.70","1.17","3.72","3.89","4.00","4.10","3.07","2.73","3.75","3.07","2.21","3.08","3.23","3.45","2.59","1.86","0.36"
"Uganda","13.58","12.54","12.78","11.75","11.99","15.89","15.85","20.49","22.54","20.69","18.26","19.43","19.03","21.14","19.69","17.09","12.58","7.14","6.46","6.93","6.94","7.06"
"Ukraine","170.50","129.09","126.22","112.19","91.91","76.05","75.98","102.41","135.28","121.06","113.16","84.89","63.10","81.72","67.86","53.63","44.14","34.99","28.26","23.86","21.12","16.99"
"United Arab Emirates","245.45","245.71","253.78","243.12","197.08","255.77","256.05","294.95","274.76","247.86","253.40","237.82","206.85","332.29","325.38","313.24","295.03","277.14","236.93","230.32","112.10","166.30"
"United Kingdom of Great Britain and Northern Ireland","775.40","665.14","709.10","695.67","614.34","618.21","682.47","718.50","659.02","639.66","622.38","587.02","572.01","593.89","589.58","528.27","483.09","500.02","453.40","335.81","331.87","355.64"
"United Republic of Tanzania","9.50","9.16","8.67","8.51","8.25","7.94","8.50","10.26","10.38","10.28","10.46","11.77","11.57","11.73","10.25","9.11","9.28","8.71","8.11","7.20","6.17","4.72"
"United States of America","1285.33","1167.73","1205.28","1164.60","1130.69","1118.35","1089.02","1058.31","1036.29","1020.67","988.27","968.78","961.57","981.58","969.79","927.26","891.00","845.10","807.77","759.99","703.68","685.40"
"Uruguay","250.14","239.69","259.30","275.71","273.18","239.12","238.64","253.02","265.53","246.09","239.39","211.41","169.67","171.08","133.76","117.83","114.40","90.49","81.20","93.90","162.17","174.58"
"Uzbekistan","94.81","64.00","56.87","49.68","52.75","70.58","63.78","53.39","78.24","71.37","63.40","53.48","40.27","34.84","27.03","21.42","18.58","16.56","15.08","15.11","18.42","21.52"
"Vanuatu","9.76","10.09","8.24","8.75","9.06","8.92","8.73","9.23","9.17","9.16","9.36","8.53","7.20","7.11","6.63","5.97","5.88","5.72","5.12","4.50","4.83","4.87"
"Venezuela (Bolivarian Republic of)","44.92","44.23","38.65","61.01","","","","","","","","","","","","","","","","","",""
"Viet Nam","69.04","65.88","78.35","73.22","63.59","55.60","51.52","49.24","43.44","44.67","33.71","29.61","24.18","22.17","18.61","15.92","13.17","10.82","8.39","7.38","7.41","7.12"
"Yemen","","","","","","","51.25","57.63","55.42","50.22","44.41","47.70","46.46","45.61","38.50","31.65","26.50","22.31","18.23","12.27","11.36","10.50"
"Zambia","5.33","4.90","6.21","7.23","7.62","6.78","7.10","9.13","9.86","8.84","7.94","8.65","8.84","12.79","12.84","15.28","11.90","9.44","7.71","6.68","7.45","6.83"
"Zimbabwe","6.43","5.27","4.98","10.08","9.73","25.44","27.10","28.42","29.80","31.21","32.57","33.83","","","","","","","","","",""
